age,employment_type,monthly_income,monthly_expenses,existing_loans,own_contribution,property_value,dependents,target
8888.0,permanent,62333.333333333336,18700.0,0,110000.0,365000.0,0,1
8888.0,permanent,155666.66666666666,46699.99999999999,0,50000.0,235000.0,0,1
8888.0,permanent,26333.333333333332,7899.999999999999,0,40000.0,225000.0,0,1
8888.0,permanent,155000.0,46500.0,0,40000.0,215000.0,0,1
8888.0,permanent,82000.0,24600.0,0,50000.0,165000.0,0,1
8888.0,permanent,49333.333333333336,14800.0,0,70000.0,355000.0,0,1
8888.0,permanent,38666.666666666664,11599.999999999998,0,420000.0,475000.0,0,1
8888.0,permanent,31000.0,9300.0,0,110000.0,145000.0,0,1
8888.0,permanent,154333.33333333334,46300.0,0,320000.0,365000.0,0,0
8888.0,permanent,16666.666666666668,5000.0,0,10000.0,205000.0,0,0
8888.0,permanent,83333.33333333333,24999.999999999996,0,60000.0,155000.0,0,1
8888.0,permanent,83333.33333333333,24999.999999999996,0,60000.0,165000.0,0,1
8888.0,permanent,83333.33333333333,24999.999999999996,0,70000.0,205000.0,0,1
8888.0,permanent,83333.33333333333,24999.999999999996,0,40000.0,155000.0,0,1
8888.0,permanent,93333.33333333333,27999.999999999996,0,350000.0,1105000.0,0,1
8888.0,permanent,205333.33333333334,61600.0,0,120000.0,575000.0,0,1
8888.0,permanent,68666.66666666667,20600.0,0,90000.0,445000.0,0,1
8888.0,permanent,1666.6666666666667,500.0,0,180000.0,215000.0,0,0
8888.0,permanent,2333.3333333333335,700.0,0,300000.0,355000.0,0,1
8888.0,permanent,40000.0,12000.0,0,740000.0,845000.0,0,0
8888.0,permanent,666.6666666666666,199.99999999999997,0,110000.0,165000.0,0,0
8888.0,permanent,24333.333333333332,7299.999999999999,0,400000.0,1105000.0,0,0
8888.0,permanent,45000.0,13500.0,0,440000.0,555000.0,0,1
8888.0,permanent,56333.333333333336,16900.0,0,590000.0,675000.0,0,1
8888.0,permanent,73666.66666666667,22100.0,0,70000.0,465000.0,0,1
8888.0,permanent,17333.333333333332,5199.999999999999,0,140000.0,155000.0,0,1
8888.0,permanent,21666.666666666668,6500.0,0,260000.0,285000.0,0,1
8888.0,permanent,88333.33333333333,26499.999999999996,0,50000.0,195000.0,0,1
8888.0,permanent,56333.333333333336,16900.0,0,120000.0,365000.0,0,1
8888.0,permanent,333.3333333333333,99.99999999999999,0,130000.0,535000.0,0,1
8888.0,permanent,333.3333333333333,99.99999999999999,0,130000.0,535000.0,0,1
8888.0,permanent,333.3333333333333,99.99999999999999,0,180000.0,705000.0,0,1
8888.0,permanent,49000.0,14700.0,0,120000.0,635000.0,0,1
8888.0,permanent,253000.0,75900.0,0,110000.0,445000.0,0,1
8888.0,permanent,29666.666666666668,8900.0,0,110000.0,585000.0,0,1
8888.0,permanent,29666.666666666668,8900.0,0,100000.0,485000.0,0,1
8888.0,permanent,4000.0,1200.0,0,30000.0,585000.0,0,1
8888.0,permanent,333.3333333333333,99.99999999999999,0,90000.0,475000.0,0,1
8888.0,permanent,8333.333333333334,2500.0,0,90000.0,475000.0,0,1
8888.0,permanent,333.3333333333333,99.99999999999999,0,100000.0,485000.0,0,1
8888.0,permanent,26333.333333333332,7899.999999999999,0,120000.0,565000.0,0,1
8888.0,permanent,17333.333333333332,5199.999999999999,0,110000.0,565000.0,0,1
8888.0,permanent,73000.0,21900.0,0,250000.0,355000.0,0,0
8888.0,permanent,20000.0,6000.0,0,90000.0,425000.0,0,0
8888.0,permanent,12666.666666666666,3799.9999999999995,0,70000.0,255000.0,0,0
8888.0,permanent,5333.333333333333,1599.9999999999998,0,160000.0,285000.0,0,0
8888.0,permanent,7666.666666666667,2300.0,0,120000.0,245000.0,0,0
8888.0,permanent,32000.0,9600.0,0,100000.0,555000.0,0,0
8888.0,permanent,4000.0,1200.0,0,120000.0,575000.0,0,0
8888.0,permanent,19333.333333333332,5799.999999999999,0,260000.0,425000.0,0,0
8888.0,permanent,4000.0,1200.0,0,40000.0,345000.0,0,0
8888.0,permanent,7000.0,2100.0,0,220000.0,375000.0,0,0
8888.0,permanent,20333.333333333332,6099.999999999999,0,90000.0,295000.0,0,0
8888.0,permanent,22000.0,6600.0,0,60000.0,275000.0,0,0
8888.0,permanent,20000.0,6000.0,0,10000.0,285000.0,0,0
8888.0,permanent,25000.0,7500.0,0,120000.0,335000.0,0,0
8888.0,permanent,8000.0,2400.0,0,200000.0,445000.0,0,0
8888.0,permanent,12000.0,3600.0,0,80000.0,335000.0,0,0
8888.0,permanent,14000.0,4200.0,0,70000.0,335000.0,0,0
8888.0,permanent,12000.0,3600.0,0,110000.0,345000.0,0,0
8888.0,permanent,14000.0,4200.0,0,110000.0,375000.0,0,0
8888.0,permanent,16000.0,4800.0,0,60000.0,275000.0,0,0
8888.0,permanent,4000.0,1200.0,0,30000.0,275000.0,0,0
8888.0,permanent,36000.0,10800.0,0,50000.0,655000.0,0,0
8888.0,permanent,53000.0,15900.0,0,90000.0,545000.0,0,0
8888.0,permanent,4000.0,1200.0,0,140000.0,405000.0,0,0
8888.0,permanent,4000.0,1200.0,0,210000.0,515000.0,0,0
8888.0,permanent,10000.0,3000.0,0,80000.0,185000.0,0,0
8888.0,permanent,12000.0,3600.0,0,140000.0,345000.0,0,0
8888.0,permanent,15333.333333333334,4600.0,0,180000.0,335000.0,0,0
8888.0,permanent,24000.0,7200.0,0,90000.0,315000.0,0,0
8888.0,permanent,24000.0,7200.0,0,150000.0,355000.0,0,0
8888.0,permanent,32000.0,9600.0,0,70000.0,405000.0,0,0
8888.0,permanent,36666.666666666664,10999.999999999998,0,530000.0,805000.0,0,0
8888.0,permanent,10000.0,3000.0,0,500000.0,855000.0,0,0
8888.0,permanent,66666.66666666667,20000.0,0,270000.0,375000.0,0,0
8888.0,permanent,26000.0,7800.0,0,140000.0,255000.0,0,0
8888.0,permanent,12000.0,3600.0,0,120000.0,325000.0,0,0
8888.0,permanent,8000.0,2400.0,0,240000.0,355000.0,0,0
8888.0,permanent,28000.0,8400.0,0,220000.0,395000.0,0,0
8888.0,permanent,10000.0,3000.0,0,210000.0,405000.0,0,0
8888.0,permanent,1000.0,300.0,0,20000.0,285000.0,0,0
8888.0,permanent,18333.333333333332,5499.999999999999,0,170000.0,435000.0,0,0
8888.0,permanent,12333.333333333334,3700.0,0,70000.0,315000.0,0,0
8888.0,permanent,20000.0,6000.0,0,280000.0,485000.0,0,0
8888.0,permanent,20000.0,6000.0,0,50000.0,345000.0,0,0
8888.0,permanent,20000.0,6000.0,0,50000.0,605000.0,0,0
8888.0,permanent,22333.333333333332,6699.999999999999,0,250000.0,405000.0,0,0
8888.0,permanent,26000.0,7800.0,0,270000.0,555000.0,0,0
8888.0,permanent,8000.0,2400.0,0,520000.0,815000.0,0,0
8888.0,permanent,23666.666666666668,7100.0,0,530000.0,1205000.0,0,0
8888.0,permanent,30333.333333333332,9100.0,0,60000.0,235000.0,0,0
8888.0,permanent,38000.0,11400.0,0,70000.0,285000.0,0,0
8888.0,permanent,51333.333333333336,15400.0,0,130000.0,565000.0,0,0
8888.0,permanent,10000.0,3000.0,0,50000.0,135000.0,0,0
